PlayerId,MLB_Proj_Score
4300,46.28
4301,45.91
430672,60.32
430943,66.44
4314,71.62
4316,79.19
4338,50.63
434581,43.99
434598,54.9
435139,59.61
435562,51.25
4359,46.92
4365,70.59
4390,62.17
4393,39.71
4398,58.81
4418,73.13
4424,44.2
444137,55.48
444141,40.69
444143,60.04
444443,72.37
444465,42.14
444466,59.05
444472,54.62
444481,46.1
444487,51.23
444491,54.2
444493,49.34
444494,55.31
444519,65.19
444524,38.84
444549,56.98
444552,55.85
444555,51.95
444557,46.81
444566,40.52
444567,57.68
444571,48.03
4448,66.36
444835,51.75
444871,41.78
444952,54.09
444959,49.47
444960,47.45
444961,61.88
444962,61.87
444967,50.63
444969,58.85
444977,47.85
444979,46.09
444981,48.75
444983,58.7
4450,63.88
445007,64.59
445011,55.6
445012,52.58
445014,49.01
445033,49.33
445038,54.28
445054,34.07
445057,44.54
445162,67.21
445175,58.17
445180,45.81
445187,59.6
445191,58.15
445199,71.53
445210,54.85
445219,50.2
445239,40.99
445269,48.95
445270,57.88
445273,50.69
445274,52.53
445277,53.38
445281,47.88
445287,48.73
445589,48.74
445618,64.65
445629,54.66
445630,45.57
445632,55.25
445922,62.12
445946,55.28
445962,47.44
445989,52.48
445992,48.15
446001,71.6
446013,62.45
446037,39.78
446045,62.29
446046,49.18
446079,39.55
446087,46.52
446088,51.59
446092,49.81
446111,61.92
446118,28.98
446121,57.23
446139,26.46
446148,46.85
446152,46.15
446164,49.1
446165,47.86
446170,45.88
446187,52.46
446201,65.09
446217,67.57
446230,59.07
446233,69.93
446234,54.23
446243,50.75
446246,50.15
446258,64.03
446261,60.6
446270,62.21
446273,36.72
446276,66.08
446279,57.57
446283,61.81
446285,50.36
446288,52.22
446302,47.89
446307,47.63
446311,33.78
446313,54.68
446319,50.53
446320,63.81
446328,61.07
446329,63.58
446332,44.77
446337,42.83
446347,50.82
446368,46.0
446377,57.06
446392,54.71
446394,64.09
4464,68.78
446404,52.04
446411,61.65
446414,51.68
446416,52.92
446422,66.65
446428,44.54
446469,52.37
446547,45.71
446549,54.69
446550,43.92
446574,47.66
446612,40.54
446632,51.16
446659,49.01
4467,61.4
446733,66.51
446737,58.14
446803,61.72
446857,49.14
446859,49.65
446887,51.73
