BW_Rank,BW_Name,BW_Team,Pos,BW_Age,In_Pool,Combined_Rank,Delta,Pool_Name,Pool_Team,Level,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
140,Owen Murphy,ATL,RHP,22.6,False,,,,,,,,,,
141,Tyson Lewis,CIN,SS,20.4,True,2068.0,-1927.0,Tyson Lewis,CIN,A+,46.42,45.86,51.19,59.87,47.17
142,Brock Wilken,MIL,3B,23.11,True,1369.0,-1227.0,Brock Wilken,MIL,AAA,54.0,53.95,50.84,46.85,51.18
143,Kemp Alderman,MIA,OF,23.7,True,507.0,-364.0,Kemp Alderman,MIA,AAA,55.14,64.42,55.88,58.07,56.84
144,Jonathon Long,CHI,1B,24.3,True,477.0,-333.0,Jonathon Long,MIA,AAA,57.77,64.59,57.38,46.85,57.08
145,Marek Houston,MIN,SS,22.1,True,363.0,-218.0,Marek Houston,MIN,AA,56.11,67.84,60.68,51.21,58.32
146,Staryln Caba,MIA,SS,20.5,False,,,,,,,,,,
147,Asbel Gonzalez,KCR,OF,20.4,True,384.0,-237.0,Asbel Gonzalez,KC,A+,56.98,61.51,56.45,64.6,58.04
148,Daniel Pierce,TBR,SS,19.9,True,1352.0,-1204.0,Daniel Pierce,TB,A,,53.4,49.81,60.51,51.23
149,Gavin Fien,WSH,SS,19.2,True,711.0,-562.0,Gavin Fien,WSH,A,56.43,58.54,49.79,60.51,55.05
150,Enrique Bradfield,BAL,OF,24.5,True,713.0,-563.0,Enrique Bradfield Jr.,BAL,AAA,56.81,53.12,62.81,46.85,55.03
151,Braden Nett,SAC,RHP,23.11,False,,,,,,,,,,
152,Cole Carrigg,COL,OF,24.0,True,366.0,-214.0,Cole Carrigg,COL,AAA,56.77,61.92,68.31,46.67,58.31
153,Blaze Jordan,STL,3B/1B,23.4,True,32.0,121.0,Blaze Jordan,STL,AAA,64.51,82.47,62.9,58.07,67.46
154,Michael Forret,TBR,RHP,22.1,False,,,,,,,,,,
155,Luis Perales,WSH,RHP,23.0,False,,,,,,,,,,
156,Luis De Leon,BAL,LHP,23.0,True,740.0,-584.0,Luis De Leon,SD,R,54.72,67.05,51.8,46.26,54.83
157,David Shields,KCR,LHP,19.8,False,,,,,,,,,,
158,Joshua Kuroda-Grauer,SAC,2B,23.3,True,61.0,97.0,Joshua Kuroda-Grauer,OAK,AAA,64.22,77.53,61.96,57.14,65.8
159,Tommy Troy,ARI,2B,24.3,True,710.0,-551.0,Tommy Troy,AZ,AAA,54.94,63.42,56.07,46.67,55.06
160,Luke Adams,MIL,1B/3B,22.0,True,44.0,116.0,Luke Adams,MIL,AAA,60.79,82.61,61.71,69.28,66.81
161,Xavier Isaac,TBR,1B,22.5,True,337.0,-176.0,Xavier Isaac,TB,AA,58.68,60.13,60.51,58.16,58.62
162,Roldy Brito,COL,2B/OF,19.1,True,108.0,54.0,Roldy Brito,COL,A+,56.92,79.07,62.49,63.42,63.42
163,Jaison Chourio,CLE,OF,20.11,True,199.0,-36.0,Jaison Chourio,CLE,AA,58.17,68.99,56.92,69.09,61.13
164,Blake Mitchell,KCR,C,21.9,True,1714.0,-1550.0,Blake Mitchell,KC,A+,49.44,51.72,49.74,55.52,49.23
165,Billy Carlson,CHW,SS,19.9,True,1275.0,-1110.0,Billy Carlson,CWS,A,,56.17,48.36,60.51,51.58
166,Nick Becker,SEA,SS,19.5,True,2494.0,-2328.0,Nick Becker,SEA,A,37.48,53.29,49.2,58.45,43.83
167,Tanner Franklin,STL,RHP,21.11,False,,,,,,,,,,
168,Gage Stanifer,TOR,RHP,22.5,False,,,,,,,,,,
169,Jimmy Crooks,STL,C,24.9,True,904.0,-735.0,Jimmy Crooks,STL,AAA,54.84,56.69,57.68,46.85,53.77
170,Wehiwa Aloy,BAL,SS,22.3,True,937.0,-767.0,Wehiwa Aloy,BAL,AA,53.33,56.87,57.33,51.86,53.62
171,Kane Kepley,CHC,OF,22.3,True,30.0,141.0,Kane Kepley,CHC,AA,66.07,76.73,70.49,51.21,67.64
172,Aaron Walton,CLE,OF,22.0,True,1324.0,-1152.0,Aaron Walton,CLE,AA,48.15,58.54,57.46,51.21,51.36
173,Coy James,WSH,SS,19.2,True,771.0,-598.0,Coy James,WSH,A,,60.18,58.02,60.51,54.67
174,Blaine Bullard,TOR,OF,19.9,True,1046.0,-872.0,Blaine Bullard,TOR,A,,56.57,53.1,61.96,52.91
175,Colby Shelton,CHW,2B,23.5,True,1745.0,-1570.0,Colby Shelton,CWS,AA,46.7,56.94,53.93,48.15,49.06
176,Henry Godbout,BOS,2B,22.6,True,76.0,100.0,Henry Godbout,BOS,AA,69.26,73.37,53.78,51.86,64.85
177,Ethan Pecko,HOU,RHP,23.7,False,,,,,,,,,,
178,Charlee Soto,MIN,RHP,20.9,False,,,,,,,,,,
179,Christian Zazueta,LAD,RHP,21.7,False,,,,,,,,,,
180,Anderson Brito,TBR,RHP,21.1,False,,,,,,,,,,
181,Khal Stephen,CLE,RHP,23.4,False,,,,,,,,,,
182,Kash Mayfield,SDP,LHP,21.3,False,,,,,,,,,,
183,Cameron Cauley,TEX,OF/SS/2B,23.3,False,,,,,,,,,,
184,Joseph Sullivan,HOU,OF,23.1,True,1173.0,-989.0,Joseph Sullivan,HOU,AA,54.86,52.74,53.08,49.26,52.12
185,David Davalillo,TEX,RHP,23.7,False,,,,,,,,,,
186,Termarr Johnson,PIT,2B,21.11,True,281.0,-95.0,Termarr Johnson,PIT,AAA,58.16,64.03,54.15,69.28,59.34
187,Dante Nori,PHI,OF,21.7,True,102.0,85.0,Dante Nori,PHI,AA,61.88,70.98,57.49,69.09,63.61
188,Ethan Petry,WSH,OF,21.1,True,1466.0,-1278.0,Ethan Petry,WSH,AA,48.62,55.25,52.55,58.44,50.66
189,Marconi German,WSH,2B/SS,18.8,True,133.0,56.0,Marconi German,WSH,R,60.41,69.23,63.95,58.79,62.53
190,Dillon Lewis,MIA,OF,22.11,True,539.0,-349.0,Dillon Lewis,MIA,AA,57.57,58.62,61.03,48.15,56.51
191,Luke Dickerson,WSH,SS,20.9,True,940.0,-749.0,Luke Dickerson,WSH,A+,54.3,57.54,50.82,57.79,53.61
192,Dorian Soto,BOS,SS,18.3,True,625.0,-433.0,Dorian Soto,BOS,R,59.2,58.29,47.59,58.79,55.68
193,Ching-Hsien Ko,LAD,OF,19.9,True,270.0,-77.0,Ching-Hsien Ko,LAD,A,58.12,70.38,52.31,61.73,59.47
194,Slater de Brun,TBR,OF,18.11,True,915.0,-721.0,Slater de Brun,TB,A,,,60.68,60.51,53.72
195,Diego Tornes,ATL,OF,17.1,True,622.0,-427.0,Diego Tornes,ATL,R,54.84,60.58,54.05,60.68,55.7
196,Caden Bodine,TBR,C,22.5,True,110.0,86.0,Caden Bodine,TB,AA,54.92,81.71,67.2,58.16,63.4
198,Tommy White,SAC,3B,23.2,True,152.0,46.0,Tommy White,OAK,AAA,60.73,72.4,58.77,57.14,62.1
199,Miguel Ullola,HOU,RHP,23.1,False,,,,,,,,,,
200,Jonathan Santucci,NYM,LHP,23.4,False,,,,,,,,,,
201,Ty Johnson,TBR,RHP,24.8,False,,,,,,,,,,
202,Kruz Schoolcraft,SDP,LHP,19.0,False,,,,,,,,,,
203,Nelson Rada,LAA,OF,20.9,True,78.0,125.0,Nelson Rada,LAA,AAA,60.15,76.92,53.54,79.47,64.64
204,Jace LaViolette,CLE,OF,21.8,True,2172.0,-1968.0,Jace LaViolette,CLE,AA,,38.78,49.81,51.21,46.5
205,Luke Stevenson,SEA,C,21.9,True,454.0,-249.0,Luke Stevenson,SEA,A+,58.27,62.12,54.57,56.21,57.33
206,Ramon Ramirez,KCR,C,20.1,True,299.0,-93.0,Ramon Ramirez,KC,A+,54.14,69.71,64.01,55.52,59.07
