Combined_Rank,Name,Team,Level,Age,PA,BW_Rank,BA_Rank,PIPE_Rank,BA_Org_Rank,PIPE_Org_Rank,Score,Score_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score,PlayerId
200,Luke Hill,CLE,AA,22.0,309,,,,,,58.71,248,58.04,71.8,64.67,51.21,61.12,702619
202,Ryan Cesarini,CLE,AA,23.0,725,,,,,,56.75,463,61.06,65.94,70.26,40.65,61.09,825761
202,Enrique Jimenez,MIN,A+,20.0,821,,,,29,27,56.56,496,58.64,72.43,54.55,64.6,61.09,806992
204,Alexander Frias,STL,A,18.0,432,,,,,,63.1,45,53.32,75.52,62.97,65.01,61.06,825484
205,Jeral Perez,CWS,AA,21.0,1907,228.0,,,17,15,57.51,379,60.9,65.53,54.43,68.16,61.01,800419
205,Alfredo Velásquez,BAL,AA,21.0,941,,,,,,57.01,432,61.97,67.45,53.61,61.86,61.01,800414
207,Nick Mitchell,WSH,AA,22.0,859,,,,,,57.09,423,61.02,66.72,58.47,58.44,60.98,814455
208,Eric Hartman,ATL,AA,20.0,892,36.0,,,24,20,60.12,152,55.5,70.97,60.95,67.24,60.91,807080
208,Handelfry Encarnacion,MIL,A,19.0,956,306.0,,,27,,56.94,442,60.58,70.15,54.21,60.51,60.91,821136
210,Callan Moss,PIT,AA,22.0,1051,,,,,,56.8,455,61.77,66.62,56.5,58.44,60.9,801978
211,Victor Santana,AZ,A,18.0,496,,,,,,55.12,764,64.15,67.9,48.0,61.07,60.88,829750
212,Marco Dinges,MIL,AA,22.0,696,131.0,,,8,10,56.03,582,59.06,73.96,58.79,51.21,60.86,701392
213,Wesly Castillo,TEX,R,18.0,376,,,,,,55.36,719,62.66,63.5,60.53,53.53,60.84,829991
214,Felnin Celesten,SEA,AA,20.0,1091,118.0,,,9,7,59.78,173,57.15,71.35,55.7,68.16,60.8,806958
215,Yorvit Diaz,OAK,R,18.0,359,,,,,,53.06,1188,62.63,67.41,56.06,53.53,60.79,829827
