PlayerId,MLBAM_ID,Season,Name,Team,Level,League,Age,G,GS,IP,ER,K,BB,IBB,HRA,H,HBP,BF,W,L,SV,SVO,HLD,BS,CG,SHO,WP
5525,457429,2006,Boone Logan,CWS,AAA,International League,21,38,0,42.666666666666664,16,57,12,3,1,35,9,181,3,1,11,14,3,3,0,0,3
434481,434481,2006,Danny Rueckel,WSH,AAA,Pacific Coast League,26,15,0,21.333333333333332,8,21,11,1,2,16,0,90,3,1,0,1,1,1,0,0,3
7206,434666,2006,Josh Rupe,TEX,AAA,Pacific Coast League,23,12,0,13.333333333333334,5,4,6,0,0,13,2,57,1,1,2,2,1,0,0,0,0
477645,477645,2006,Joel Valdez,MXO,AAA,Mexican League,25,11,0,18.666666666666668,7,10,6,0,1,22,0,85,0,0,0,0,0,0,0,0,2
450195,450195,2006,Shawn Kohn,OAK,AAA,Pacific Coast League,26,40,0,53.0,20,48,15,0,5,42,4,219,2,0,2,3,11,1,0,0,0
2180,430594,2006,Renyel Pinto,MIA,AAA,Pacific Coast League,23,18,18,95.33333333333333,36,96,47,1,8,82,13,418,8,2,0,0,0,0,1,0,7
6204,451788,2006,Shaun Marcum,TOR,AAA,International League,24,18,5,52.666666666666664,20,60,9,0,6,48,1,211,4,0,0,0,1,0,0,0,1
461251,461251,2006,Ricky Barrett,MIN,AAA,International League,25,27,0,47.333333333333336,18,49,26,4,0,31,0,195,5,1,1,2,7,1,0,0,3
489336,489336,2006,Will Startup,ATL,AAA,International League,21,30,0,42.0,16,38,11,1,3,45,0,178,5,2,0,0,2,0,0,0,2
477546,477546,2006,Alejandro Rios,SLT,AAA,Mexican League,26,22,21,112.66666666666667,43,67,42,1,7,128,5,492,11,3,1,1,0,0,0,0,5
8245,434442,2006,J.P. Howell,TB,AAA,International League,23,18,18,91.0,35,82,29,0,5,92,4,381,8,5,0,0,0,0,0,0,3
2913,460639,2006,Jailen Peguero,HOU,AAA,Pacific Coast League,25,21,0,36.333333333333336,14,30,18,2,3,34,1,162,1,2,1,4,3,3,0,0,4
1938,430683,2006,Justin Germano,PHI,AAA,International League,23,25,24,155.33333333333334,60,92,24,0,13,164,10,638,10,6,0,0,0,0,0,0,1
459414,459414,2006,Matt Wilhite,LAA,AAA,Pacific Coast League,24,54,0,80.0,31,36,21,0,7,79,1,327,7,2,1,2,10,1,0,0,1
4773,429720,2006,John Maine,NYM,AAA,International League,25,10,10,56.666666666666664,22,48,20,0,2,55,0,241,3,5,0,0,0,0,0,0,2
2668,458187,2006,Andy Cavazos,STL,AAA,Pacific Coast League,25,44,0,56.333333333333336,22,55,16,1,2,47,1,231,1,5,4,6,12,2,0,0,0
7057,449128,2006,Mike Schultz,AZ,AAA,Pacific Coast League,26,49,0,53.666666666666664,21,41,19,1,1,58,2,236,2,4,4,6,4,2,0,0,4
466961,466961,2006,Ignacio Montano,VRA,AAA,Mexican League,25,22,20,127.0,50,83,48,1,11,127,11,553,9,3,0,0,0,0,1,1,4
453450,453450,2006,Paul Bush,ATL,AAA,International League,26,17,4,40.0,16,36,16,0,3,29,3,166,0,4,0,0,1,0,0,0,1
8725,407924,2006,Manny Acosta,ATL,AAA,International League,25,38,0,44.666666666666664,18,44,32,3,4,38,5,205,1,6,17,21,1,4,0,0,0
477452,477452,2006,Rudy Gonzalez,MXO,AAA,Mexican League,24,21,18,106.33333333333333,43,89,34,0,4,121,6,469,7,3,0,0,1,0,0,0,4
2174,430610,2006,Dennis Sarfate,MIL,AAA,Pacific Coast League,25,34,21,125.0,51,117,78,0,7,125,6,565,10,7,0,2,1,2,0,0,10
455927,455927,2006,Ryan Houston,TOR,AAA,International League,26,46,0,66.0,27,68,38,3,2,68,1,305,2,4,2,2,4,0,0,0,6
430830,430830,2006,Alec Zumwalt,MIL,AAA,Pacific Coast League,25,40,0,39.0,16,45,15,0,6,37,0,168,0,3,15,19,2,4,0,0,6
4253,452249,2006,Micah Owings,AZ,AAA,Pacific Coast League,23,15,15,87.66666666666667,36,61,34,0,4,96,5,381,10,0,0,0,0,0,1,0,5
477550,477550,2006,Oscar Rivera,YUC,AAA,Mexican League,25,21,21,120.66666666666667,50,112,38,1,7,114,3,503,9,7,0,0,0,0,2,2,4
3425,434638,2006,Brian Burres,BAL,AAA,International League,25,26,26,139.0,58,110,57,1,14,133,8,596,10,6,0,0,0,0,1,1,8
2735,445120,2006,Mike Thompson,SD,AAA,Pacific Coast League,25,13,13,69.33333333333333,29,41,20,1,4,69,4,288,6,1,0,0,0,0,0,0,1
7507,456043,2006,Jonathan Sánchez,SF,AAA,Pacific Coast League,23,6,6,23.666666666666668,10,28,13,0,1,13,2,97,2,2,0,0,0,0,0,0,1
3104,460654,2006,Jason Miller,MIN,AAA,International League,23,32,15,99.33333333333333,42,87,36,1,10,101,3,425,3,8,1,2,0,1,1,1,4
3799,434592,2006,Chris Resop,MIA,AAA,Pacific Coast League,23,40,0,49.666666666666664,21,43,15,2,4,49,1,210,4,0,2,4,5,2,0,0,1
469832,469832,2006,Andy Shipman,CHC,AAA,Pacific Coast League,24,46,0,56.666666666666664,24,43,27,0,1,65,1,250,2,3,0,5,9,5,0,0,7
8373,448253,2006,Jason Windsor,OAK,AAA,Pacific Coast League,23,20,20,118.0,50,123,32,0,7,128,2,510,13,1,0,0,0,0,1,0,2
5576,449774,2006,Evan MacLane,AZ,AAA,Pacific Coast League,23,22,21,129.33333333333334,55,71,36,0,12,146,3,554,10,8,0,0,0,0,1,1,1
2756,456630,2006,Davis Romero,TOR,AAA,International League,23,18,3,44.666666666666664,19,36,7,0,3,46,5,191,4,4,1,3,2,2,0,0,0
5999,450265,2006,Jordan Tata,DET,AAA,International League,24,21,21,122.0,52,86,49,2,11,117,7,530,10,6,0,0,0,0,1,1,10
5660,461347,2006,Jamie Vermilyea,TOR,AAA,International League,24,25,17,114.66666666666667,49,64,28,0,9,129,2,487,6,7,1,2,0,1,0,0,1
5718,446454,2006,Brian Bannister,NYM,AAA,International League,25,6,6,30.333333333333332,13,24,5,0,4,34,0,128,3,3,0,0,0,0,1,0,1
449457,449457,2006,Chris Flinn,TB,AAA,International League,25,8,1,11.666666666666666,5,9,7,0,1,12,0,51,0,0,0,0,1,0,0,0,1
2743,446488,2006,Scott Rice,BAL,AAA,International League,24,52,0,65.33333333333333,28,38,28,1,4,65,5,285,3,4,1,1,7,0,0,0,9
4303,458008,2006,Humberto Sanchez,DET,AAA,International League,23,9,9,51.333333333333336,22,43,20,0,2,50,3,217,5,3,0,0,0,0,0,0,1
477458,477458,2006,Carlos Gutierrez,VAQ,AAA,Mexican League,19,38,0,53.333333333333336,23,39,23,5,2,52,6,226,1,2,0,0,6,0,0,0,2
6941,465657,2006,Joakim Soria,MXO,AAA,Mexican League,22,39,0,37.0,16,30,11,1,2,37,1,159,0,0,15,17,0,2,0,0,1
1727,429440,2006,Édgar González,AZ,AAA,Pacific Coast League,23,24,24,138.33333333333334,60,107,27,0,11,142,13,577,3,8,0,0,0,0,3,1,5
6842,457902,2006,Brett Campbell,WSH,AAA,Pacific Coast League,24,15,0,20.666666666666668,9,19,11,1,1,14,0,85,0,1,0,2,2,2,0,0,2
4771,455949,2006,Scott Mathieson,PHI,AAA,International League,22,5,5,34.333333333333336,15,36,10,0,2,26,1,138,3,1,0,0,0,0,0,0,3
446447,446447,2006,Nick McCurdy,BAL,AAA,International League,26,15,0,29.666666666666668,13,20,8,1,3,35,0,125,4,0,0,1,1,1,0,0,1
477564,477564,2006,Arturo Ruiz,SLT,AAA,Mexican League,22,30,0,29.666666666666668,13,20,13,0,0,33,1,135,1,0,0,1,1,1,0,0,3
5842,451532,2006,Chad Billingsley,LAD,AAA,Pacific Coast League,21,13,13,70.66666666666667,31,78,32,0,7,57,3,297,6,3,0,0,0,0,0,0,4
4346,433578,2006,Lance Cormier,ATL,AAA,International League,25,9,9,54.666666666666664,24,27,14,1,4,65,1,235,4,3,0,0,0,0,1,1,0
4300,458006,2006,Matt Albers,HOU,AAA,Pacific Coast League,23,4,4,25.0,11,26,10,0,2,24,2,107,2,1,0,0,0,0,0,0,0
