key_mlbam,key_fangraphs
438434,
823640,
117215,1007062
113038,1002972
451546,2786
502370,
547169,
446178,
464050,
694192,28806
544270,
116196,1006070
122330,1012071
451892,
439255,
443929,
805688,
623291,
642859,
592601,
821438,
807324,
827364,
669644,
542483,
687615,
554806,
658474,
493238,
457331,
703806,
703140,
825129,
567003,
565081,
111262,948
670545,
464108,
801591,
450247,
599698,
439914,
443447,
567289,
473065,
672569,22707
436756,
596088,
452203,
814761,
119051,1008863
503352,
501255,2832
819779,
831117,
466702,
442418,
466373,
440879,
684773,
669281,
605257,
442150,
472967,
801921,
665817,
534229,
467331,
682789,
455443,
801963,
437085,
656543,
436594,
829549,
627371,
571686,
681938,
569494,
684460,
673747,
469900,
110468,1000448
517010,
112260,1002219
556215,
628333,16017
809961,
817434,
112096,1002049
563925,
120887,1010651
677006,
687947,
656864,
474370,
119197,1009000
689312,
119534,1009336
681643,
802495,
561375,
567566,
833431,
641569,
841138,
461759,
828784,
457278,
124587,1014265
679326,
819051,
118676,1008493
657738,
439616,
121224,1010979
116258,1006131
566241,
532719,
700655,
828606,
442326,
562939,
442266,
558066,
672405,
670407,
800640,
448276,8066
605224,
462547,
533388,
117727,1007572
673920,
689304,
835998,
695000,
823713,
436218,
442840,
700434,
825289,
643553,
442519,
114115,1004036
441833,
657560,
827110,
700998,
440729,
527388,
120230,1009999
670404,
684516,
430944,2368
820753,
832296,
809735,
678749,
683903,
472678,
115485,1005371
693205,
817226,
670387,
437496,
455654,
443972,
650888,
462636,
438546,
828160,
112900,1002840
673866,
800471,
537953,5450
123086,1012822
115114,1252
462248,
808993,
694383,
114844,956
502680,
555343,
824423,
621256,
506707,
667515,
806057,
119136,1008944
559860,
560435,
567060,
686900,
527029,
572119,10029
438375,
408217,
532061,
626938,
702298,
435712,
438287,
807191,
829921,
665858,
804593,
678188,
545742,
660165,
642382,
599713,
822162,
461031,
831931,
689551,
694281,
562790,
117057,1006908
694394,
687497,
517595,
441370,
446865,
504607,
276913,1694
572910,9959
691103,
838177,
607064,
801500,
572690,
572742,
112227,1002173
458112,
703555,
118791,1008607
667252,
641466,
800010,
624427,15492
438706,
687770,
531278,
822491,
836033,
440591,
112497,1002459
438825,
694988,
556197,
658267,
838605,
499708,
456683,
458893,
533313,
456349,
458253,
699436,
534074,
695841,
688560,
808076,
112014,1001970
115132,1209
567575,
680694,24586
682952,
462267,
818244,
555357,
518584,
805040,
529491,
657239,
696045,
831711,
114954,1004861
807404,
454335,
802700,
566808,
452932,
123862,1013550
545770,
113315,1003251
800736,
559102,
437850,
607905,
427537,
442697,
595131,
436725,
503422,
120409,1010181
841199,
825639,
111538,1001504
502090,
438750,
568961,
124457,1014138
811140,
119655,1009453
115127,1005032
572835,
123883,1013577
621411,
488814,
820606,
469929,
592583,
440915,
562450,
833503,
471913,
805388,
682205,
807575,
815900,
691574,
467121,
545493,
821836,
112244,1002191
657261,
656613,
802957,
687525,
559532,
683494,
665828,21707
116310,1006187
680605,
471446,
689318,
110088,1000084
119975,789
814559,
656540,
686170,
124713,1014391
816459,
446497,
461352,
515188,
680845,
470824,
692233,
840060,
503074,
608667,
802342,
807205,
681462,
665382,
650380,
448457,
641429,
122532,1012276
122790,1012531
467334,
560470,
800124,
474819,
446198,
810899,
605487,
667279,
543955,
425146,1620
678415,
518577,7250
473783,
451434,
562449,
468319,
447980,
822028,
670630,
680835,
817918,
451398,
562620,
541663,
698931,
556687,
684598,
572170,
828671,
545387,
669661,
693598,
832086,
656829,
118033,1007861
124593,1014278
813976,
557873,
624220,
818433,
111201,1001171
682218,
679230,
818181,
628699,
642475,
554252,
607175,
819625,
451806,
440128,
676411,
667825,
518667,
467828,
809824,
442899,
464173,
446750,
641549,
543526,
689027,
642070,
111181,1001152
456461,
679807,
578569,
464606,
819162,
840806,
117295,1007144
440135,
825920,
442820,
625509,
684179,
807272,
657034,
459304,
441641,
650554,
688350,
650906,
660619,
446126,
660294,27459
121847,1011595
490998,
117914,1007751
565031,
836005,
623171,
819475,
663808,
441909,
445819,
702531,
463947,
