Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2009,Dominican Summer League,19.0,2.37,0.63,1.35,0.31
2009,Dominican Summer League,20.0,2.73,0.7,1.69,0.36
2009,Dominican Summer League,21.0,2.94,0.79,1.51,0.35
2009,Dominican Summer League,22.0,3.69,0.88,1.6,0.28
2009,Dominican Summer League,23.0,2.49,0.56,3.14,0.76
2009,Eastern League,19.0,2.5,0.48,2.47,0.84
2009,Eastern League,20.0,2.8,0.87,1.23,0.2
2009,Eastern League,21.0,2.36,0.59,1.81,0.43
2009,Eastern League,22.0,2.21,0.51,1.99,0.55
2009,Eastern League,23.0,2.08,0.47,1.79,0.53
2009,Eastern League,24.0,2.44,0.56,1.57,0.5
2009,Florida State League,18.0,1.38,0.4,0.42,0.06
2009,Florida State League,19.0,3.47,0.85,1.27,0.29
2009,Florida State League,20.0,2.34,0.6,1.45,0.37
2009,Florida State League,21.0,2.18,0.54,1.6,0.41
2009,Florida State League,22.0,2.21,0.57,1.44,0.36
2009,Florida State League,23.0,2.44,0.61,1.69,0.41
2009,Florida State League,24.0,2.45,0.63,1.48,0.34
2009,Gulf Coast League,16.0,3.32,0.88,,
2009,Gulf Coast League,17.0,2.12,0.56,1.8,0.49
2009,Gulf Coast League,18.0,1.83,0.48,1.59,0.43
2009,Gulf Coast League,19.0,2.27,0.61,1.33,0.32
2009,Gulf Coast League,20.0,1.83,0.53,1.08,0.3
2009,Gulf Coast League,21.0,2.25,0.61,1.87,0.47
2009,Gulf Coast League,22.0,2.03,0.6,1.58,0.47
2009,Gulf Coast League,23.0,1.79,0.53,1.36,0.37
2009,Gulf Coast League,24.0,2.8,0.8,2.17,0.61
2009,International League,18.0,1.0,0.27,,
2009,International League,19.0,5.33,1.23,,
2009,International League,20.0,4.44,1.01,0.42,0.16
2009,International League,21.0,1.06,0.28,,
2009,International League,22.0,2.22,0.51,2.34,0.61
2009,International League,23.0,2.93,0.69,1.64,0.44
2009,International League,24.0,2.72,0.62,1.78,0.48
2009,Mexican League,18.0,0.78,0.22,1.29,0.47
2009,Mexican League,19.0,2.88,0.79,1.62,0.42
