Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2016,Luis Tejada,SDP,A+,23,46,157,180,35,23,5,1,6,21,20,16,0,23,5,2,0,2,3,2,0.222929936,sa548053
2015,Pedro Ruiz,LAA,A+,23,61,183,231,32,26,4,0,2,20,18,43,0,56,0,1,4,2,1,8,0.174863387,sa548055
2012,Wagner Mateo,ARI,A+,19,10,38,43,10,7,3,0,0,3,2,5,0,13,0,0,0,2,0,1,0.263157894,sa548057
2012,Taylor Lindsey,LAA,A+,20,134,547,589,158,117,26,6,9,79,58,29,1,66,5,4,4,8,8,6,0.288848263,sa548170
2014,Chevy Clarke,LAA,A+,22,36,110,128,19,17,1,0,1,4,5,13,0,35,1,0,4,0,3,2,0.172727272,sa548179
2015,Kellin Deglan,TEX,A+,23,62,237,259,56,36,7,1,12,36,38,17,0,76,3,1,1,3,1,0,0.236286919,sa548189
2014,Aaron Shipman,OAK,A+,22,52,178,215,52,39,6,6,1,30,16,36,0,39,1,0,0,2,13,2,0.292134831,sa548218
2012,Yordy Cabrera,OAK,A+,21,60,220,239,51,37,9,2,3,26,21,16,0,68,3,0,0,3,2,2,0.231818181,sa548243
2011,Carter Jurica,SFG,A+,22,55,180,212,45,29,12,0,4,36,23,25,0,44,5,1,1,4,5,2,0.25,sa548259
2012,Carter Jurica,SFG,A+,23,108,403,459,121,93,19,3,6,68,56,43,0,74,3,8,2,6,6,4,0.300248138,sa548259
