Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2015,Trent Woodward,HOU,A,23,31,102,115,30,27,2,1,0,16,9,10,0,24,1,0,1,3,1,2,0.294117647,sa827146
2016,Michael Russell,TBR,A,23,109,396,458,116,75,28,5,8,76,48,45,0,64,13,3,1,10,29,9,0.292929292,sa827159
2016,Austin Byler,ARI,A,23,50,185,213,48,33,7,4,4,21,18,22,0,72,5,1,0,0,5,4,0.259459459,sa827162
2015,Casey Gillaspie,TBR,A,22,64,234,268,65,38,11,0,16,37,44,28,1,43,3,3,0,5,4,0,0.277777777,sa827177
2016,Conner Hale,SEA,A,23,109,402,432,105,84,13,1,7,51,43,22,1,95,0,4,4,16,3,2,0.261194029,sa827178
2017,Conner Hale,SEA,A,24,13,47,51,10,5,3,1,1,6,4,4,0,11,0,0,0,2,0,0,0.212765957,sa827178
2014,Max Murphy,MIN,A,21,32,124,137,30,19,7,0,4,15,15,8,0,40,5,0,0,4,1,1,0.241935483,sa827182
2015,Max Murphy,MIN,A,22,93,346,387,78,51,15,8,4,54,36,27,0,87,12,2,0,15,8,2,0.225433526,sa827182
2016,Max Murphy,MIN,A,23,18,63,71,10,7,1,2,0,7,8,6,0,20,2,0,0,3,3,0,0.158730158,sa827182
2016,Josh Anderson,ARI,A,23,35,122,133,31,23,7,0,1,11,10,6,0,29,4,1,0,1,1,2,0.25409836,sa827186
2014,Branden Cogswell,OAK,A,21,40,128,151,26,23,2,1,0,14,12,17,0,24,3,1,2,3,3,1,0.203125,sa827188
2015,Gunnar Heidt,TOR,A,22,54,189,208,34,23,10,1,0,19,18,11,0,46,1,4,3,5,8,3,0.179894179,sa827195
2016,Gunnar Heidt,TOR,A,23,57,211,241,57,35,15,3,4,29,21,22,0,56,5,1,2,4,13,8,0.27014218,sa827195
2017,Richie Fecteau,LAA,A,23,58,222,246,70,49,11,2,8,29,44,15,2,31,5,3,1,5,2,2,0.315315315,sa827319
2015,Will Maddox,DET,A,23,13,43,47,17,15,2,0,0,5,1,1,0,6,1,0,2,0,2,2,0.395348837,sa827323
2016,Will Maddox,DET,A,24,127,511,558,175,148,23,3,1,59,58,32,3,89,5,5,5,9,28,12,0.342465753,sa827323
