Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2023,Leandro Emiliani,WSN,A,23,35,110,138,27,19,8,0,0,15,18,20,0,28,3,5,0,1,0,0,0.245454545,sa3006897
2021,Reivaj Garcia,CHC,A,19,9,33,37,7,6,1,0,0,3,3,4,0,14,0,0,0,1,1,0,0.212121212,sa3006900
2023,Reivaj Garcia,CHC,A,21,92,366,415,112,85,21,3,3,72,41,41,0,71,1,6,1,3,21,8,0.306010928,sa3006900
2021,Lency Delgado,CHW,A,22,42,144,157,28,21,2,0,5,14,12,11,0,79,1,0,1,3,0,0,0.194444444,sa3006913
2019,Kyle Kasser,KCR,A+,23,62,198,222,60,53,6,1,0,22,17,17,0,24,2,1,4,2,7,6,0.303030303,sa3006916
2021,Jeremiah Burks,CHW,A,24,12,38,47,10,7,2,1,0,4,6,8,0,15,1,0,0,0,0,2,0.263157894,sa3007004
2018,Jackson Lueck,KCR,A+,21,9,29,31,5,1,4,0,0,3,2,0,0,12,1,0,1,2,1,0,0.172413793,sa3007011
2021,Michael Berglund,TBR,A,23,50,158,198,31,24,6,0,1,23,26,27,0,61,7,6,0,2,2,0,0.196202531,sa3007016
2022,Michael Berglund,TBR,A,24,20,63,82,16,12,3,1,0,11,4,17,0,18,1,0,1,0,3,0,0.253968253,sa3007016
2021,Alex Hall,MIL,A,22,44,163,184,38,23,9,4,2,21,26,17,0,56,1,3,0,2,2,2,0.233128834,sa3007023
2022,Alex Hall,MIL,A,23,15,48,54,5,3,1,0,1,4,3,6,0,25,0,0,0,0,1,0,0.104166666,sa3007023
2021,Jayce Easley,TEX,A,21,98,311,401,76,61,11,3,1,74,28,78,0,83,6,2,4,1,70,10,0.24437299,sa3007057
2019,Dylan Hardy,BOS,A+,22,36,107,127,26,20,4,0,2,20,11,15,0,36,2,1,2,3,2,2,0.242990654,sa3007060
2022,Keegan Fish,CHW,A,22,7,21,28,5,5,0,0,0,2,2,7,0,8,0,0,0,0,1,0,0.238095238,sa3007068
2021,Greg Cullen,BAL,A,24,10,32,41,9,8,1,0,0,5,1,8,0,7,1,0,0,1,0,1,0.28125,sa3007069
